MTH,DY,COUNT(*),REFERER
4,22,3053532,http://www.cnn.com/2017/04/22/us/american-airlines-video-confrontation-trnd/index.html
4,23,140862,http://www.cnn.com/2017/04/22/us/american-airlines-video-confrontation-trnd/index.html
4,24,828604,http://www.cnn.com/2017/04/22/us/american-airlines-video-confrontation-trnd/index.html
4,25,34557,http://www.cnn.com/2017/04/22/us/american-airlines-video-confrontation-trnd/index.html
4,26,6829,http://www.cnn.com/2017/04/22/us/american-airlines-video-confrontation-trnd/index.html
4,27,5503,http://www.cnn.com/2017/04/22/us/american-airlines-video-confrontation-trnd/index.html
4,28,2202,http://www.cnn.com/2017/04/22/us/american-airlines-video-confrontation-trnd/index.html
4,29,1344,http://www.cnn.com/2017/04/22/us/american-airlines-video-confrontation-trnd/index.html
4,30,1428,http://www.cnn.com/2017/04/22/us/american-airlines-video-confrontation-trnd/index.html
5,1,662,http://www.cnn.com/2017/04/22/us/american-airlines-video-confrontation-trnd/index.html
5,2,316,http://www.cnn.com/2017/04/22/us/american-airlines-video-confrontation-trnd/index.html
5,3,290,http://www.cnn.com/2017/04/22/us/american-airlines-video-confrontation-trnd/index.html
5,4,328,http://www.cnn.com/2017/04/22/us/american-airlines-video-confrontation-trnd/index.html
5,5,372,http://www.cnn.com/2017/04/22/us/american-airlines-video-confrontation-trnd/index.html
5,6,243,http://www.cnn.com/2017/04/22/us/american-airlines-video-confrontation-trnd/index.html
5,7,292,http://www.cnn.com/2017/04/22/us/american-airlines-video-confrontation-trnd/index.html
5,8,392,http://www.cnn.com/2017/04/22/us/american-airlines-video-confrontation-trnd/index.html
5,9,318,http://www.cnn.com/2017/04/22/us/american-airlines-video-confrontation-trnd/index.html
5,10,1288,http://www.cnn.com/2017/04/22/us/american-airlines-video-confrontation-trnd/index.html
5,11,360,http://www.cnn.com/2017/04/22/us/american-airlines-video-confrontation-trnd/index.html
5,12,240,http://www.cnn.com/2017/04/22/us/american-airlines-video-confrontation-trnd/index.html
5,13,245,http://www.cnn.com/2017/04/22/us/american-airlines-video-confrontation-trnd/index.html
5,14,302,http://www.cnn.com/2017/04/22/us/american-airlines-video-confrontation-trnd/index.html
5,15,187,http://www.cnn.com/2017/04/22/us/american-airlines-video-confrontation-trnd/index.html
5,16,158,http://www.cnn.com/2017/04/22/us/american-airlines-video-confrontation-trnd/index.html
5,17,142,http://www.cnn.com/2017/04/22/us/american-airlines-video-confrontation-trnd/index.html
5,18,88,http://www.cnn.com/2017/04/22/us/american-airlines-video-confrontation-trnd/index.html
5,19,202,http://www.cnn.com/2017/04/22/us/american-airlines-video-confrontation-trnd/index.html
5,20,295,http://www.cnn.com/2017/04/22/us/american-airlines-video-confrontation-trnd/index.html
5,21,102,http://www.cnn.com/2017/04/22/us/american-airlines-video-confrontation-trnd/index.html
5,22,136,http://www.cnn.com/2017/04/22/us/american-airlines-video-confrontation-trnd/index.html
5,23,54,http://www.cnn.com/2017/04/22/us/american-airlines-video-confrontation-trnd/index.html
5,24,95,http://www.cnn.com/2017/04/22/us/american-airlines-video-confrontation-trnd/index.html
5,25,97,http://www.cnn.com/2017/04/22/us/american-airlines-video-confrontation-trnd/index.html
5,26,112,http://www.cnn.com/2017/04/22/us/american-airlines-video-confrontation-trnd/index.html
5,27,126,http://www.cnn.com/2017/04/22/us/american-airlines-video-confrontation-trnd/index.html
5,28,90,http://www.cnn.com/2017/04/22/us/american-airlines-video-confrontation-trnd/index.html
5,29,72,http://www.cnn.com/2017/04/22/us/american-airlines-video-confrontation-trnd/index.html
5,30,18,http://www.cnn.com/2017/04/22/us/american-airlines-video-confrontation-trnd/index.html
