MTH,DY,COUNT(*),REFERER
4,23,544962,http://www.cnn.com/2017/04/23/asia/american-detained-in-north-korea/
4,24,103410,http://www.cnn.com/2017/04/23/asia/american-detained-in-north-korea/
4,25,3002,http://www.cnn.com/2017/04/23/asia/american-detained-in-north-korea/
4,26,861,http://www.cnn.com/2017/04/23/asia/american-detained-in-north-korea/
4,27,717,http://www.cnn.com/2017/04/23/asia/american-detained-in-north-korea/
4,28,570,http://www.cnn.com/2017/04/23/asia/american-detained-in-north-korea/
4,29,367,http://www.cnn.com/2017/04/23/asia/american-detained-in-north-korea/
4,30,228,http://www.cnn.com/2017/04/23/asia/american-detained-in-north-korea/
5,1,263,http://www.cnn.com/2017/04/23/asia/american-detained-in-north-korea/
5,2,65,http://www.cnn.com/2017/04/23/asia/american-detained-in-north-korea/
5,3,305,http://www.cnn.com/2017/04/23/asia/american-detained-in-north-korea/
5,4,112,http://www.cnn.com/2017/04/23/asia/american-detained-in-north-korea/
5,5,89,http://www.cnn.com/2017/04/23/asia/american-detained-in-north-korea/
5,6,86,http://www.cnn.com/2017/04/23/asia/american-detained-in-north-korea/
5,7,528,http://www.cnn.com/2017/04/23/asia/american-detained-in-north-korea/
5,8,803,http://www.cnn.com/2017/04/23/asia/american-detained-in-north-korea/
5,9,141,http://www.cnn.com/2017/04/23/asia/american-detained-in-north-korea/
5,10,143,http://www.cnn.com/2017/04/23/asia/american-detained-in-north-korea/
5,11,74,http://www.cnn.com/2017/04/23/asia/american-detained-in-north-korea/
5,12,121,http://www.cnn.com/2017/04/23/asia/american-detained-in-north-korea/
5,13,103,http://www.cnn.com/2017/04/23/asia/american-detained-in-north-korea/
5,14,99,http://www.cnn.com/2017/04/23/asia/american-detained-in-north-korea/
5,15,87,http://www.cnn.com/2017/04/23/asia/american-detained-in-north-korea/
5,16,73,http://www.cnn.com/2017/04/23/asia/american-detained-in-north-korea/
5,17,135,http://www.cnn.com/2017/04/23/asia/american-detained-in-north-korea/
5,18,52,http://www.cnn.com/2017/04/23/asia/american-detained-in-north-korea/
5,19,66,http://www.cnn.com/2017/04/23/asia/american-detained-in-north-korea/
5,20,137,http://www.cnn.com/2017/04/23/asia/american-detained-in-north-korea/
5,21,88,http://www.cnn.com/2017/04/23/asia/american-detained-in-north-korea/
5,22,65,http://www.cnn.com/2017/04/23/asia/american-detained-in-north-korea/
5,23,70,http://www.cnn.com/2017/04/23/asia/american-detained-in-north-korea/
5,24,51,http://www.cnn.com/2017/04/23/asia/american-detained-in-north-korea/
5,25,54,http://www.cnn.com/2017/04/23/asia/american-detained-in-north-korea/
5,26,45,http://www.cnn.com/2017/04/23/asia/american-detained-in-north-korea/
5,27,17,http://www.cnn.com/2017/04/23/asia/american-detained-in-north-korea/
5,28,125,http://www.cnn.com/2017/04/23/asia/american-detained-in-north-korea/
5,29,48,http://www.cnn.com/2017/04/23/asia/american-detained-in-north-korea/
5,30,49,http://www.cnn.com/2017/04/23/asia/american-detained-in-north-korea/
5,31,7,http://www.cnn.com/2017/04/23/asia/american-detained-in-north-korea/
