MTH,DY,COUNT(*),REFERER
3,23,335556,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
3,24,231128,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
3,25,55446,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
3,26,23902,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
3,27,5983,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
3,28,3721,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
3,29,2095,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
3,30,1705,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
3,31,3045,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
4,1,412,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
4,2,225,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
4,3,95,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
4,4,207,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
4,5,71,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
4,6,116,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
4,7,167,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
4,8,184,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
4,9,54,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
4,10,60,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
4,11,17,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
4,12,60,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
4,13,17,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
4,14,100,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
4,15,133,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
4,16,35,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
4,17,78,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
4,18,45,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
4,19,47,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
4,20,74,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
4,21,165,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
4,22,169,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
4,23,149,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
4,24,100,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
4,25,40,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
4,26,74,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
4,27,264,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
4,28,87,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
4,29,128,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
4,30,155,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
5,1,119,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
5,2,63,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
5,3,89,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
5,4,131,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
5,5,68,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
5,6,36,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
5,7,81,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
5,8,185,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
5,9,98,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
5,10,110,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
5,11,163,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
5,12,195,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
5,13,215,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
5,14,34,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
5,15,99,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
5,16,335,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
5,17,113,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
5,18,139,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
5,19,243,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
5,20,159,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
5,21,62,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
5,22,1909,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
5,23,2696,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
5,24,432,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
5,25,388,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
5,26,166,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
5,27,224,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
5,28,108,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
5,29,96,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
5,30,166,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
5,31,46,http://www.cnn.com/2017/03/23/europe/london-attack/index.html
