MTH,DY,COUNT(*),REFERER
3,31,3861704,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
4,1,37482,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
4,2,7505,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
4,3,2261,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
4,4,1220,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
4,5,221,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
4,6,198,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
4,7,198,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
4,8,98,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
4,9,26,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
4,10,11,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
4,11,32,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
4,12,20,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
4,13,55,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
4,14,79,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
4,15,50,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
4,16,74,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
4,17,29,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
4,18,25,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
4,19,30,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
4,21,62,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
4,22,58,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
4,23,49,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
4,24,17,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
4,25,48,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
4,26,25,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
4,27,18,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
4,28,56,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
4,29,14,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
4,30,18,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
5,1,23,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
5,2,18,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
5,3,25,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
5,5,13,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
5,6,12,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
5,7,13,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
5,8,122,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
5,9,89,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
5,10,129,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
5,11,66,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
5,13,13,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
5,14,19,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
5,15,22,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
5,16,175,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
5,17,75,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
5,18,37,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
5,19,132,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
5,20,29,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
5,21,15,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
5,22,130,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
5,23,22,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
5,24,20,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
5,25,20,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
5,27,85,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
5,29,13,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
5,31,16,http://www.cnn.com/2017/03/30/politics/michael-flynn-immunity-testimony/index.html
