MTH,DY,COUNT(*),REFERER
3,26,2625528,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
3,27,219891,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
3,28,16761,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
3,29,4811,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
3,30,3117,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
3,31,74003,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
4,1,535,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
4,2,332,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
4,3,226,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
4,4,233,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
4,5,29,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
4,6,92,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
4,7,110,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
4,8,58,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
4,9,84,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
4,10,72,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
4,12,12,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
4,13,18,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
4,14,11,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
4,15,35,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
4,16,26,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
4,17,69,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
4,18,45,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
4,19,36,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
4,20,11,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
4,21,42,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
4,24,18,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
4,25,46,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
4,26,23,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
4,27,44,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
4,28,41,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
4,29,47,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
4,30,26,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
5,2,12,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
5,3,25,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
5,5,13,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
5,6,13,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
5,7,49,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
5,9,12,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
5,10,28,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
5,11,12,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
5,12,17,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
5,13,19,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
5,14,13,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
5,15,27,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
5,16,20,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
5,17,24,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
5,18,34,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
5,20,24,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
5,21,109,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
5,23,43,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
5,24,30,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
5,25,28,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
5,26,11,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
5,27,17,http://www.cnn.com/2017/03/26/us/ohio-nightclub-shooting/index.html
