MTH,DY,COUNT(*),REFERER
2,18,303910,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
2,19,1970,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
2,20,269,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
2,21,193,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
2,22,185,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
2,23,47,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
2,24,44,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
2,25,42,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
2,26,61,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
2,27,32,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
2,28,35,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
3,1,7,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
3,2,11,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
3,3,16,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
3,4,13,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
3,8,7,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
3,10,7,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
3,11,7,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
3,12,7,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
3,14,15,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
3,17,23,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
3,21,13,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
3,22,13,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
3,23,9,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
3,24,13,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
3,25,56,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
3,26,19,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
3,27,13,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
3,28,25,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
3,29,13,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
3,30,25,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
4,4,12,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
4,12,12,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
4,15,10,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
4,17,23,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
4,19,8,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
4,23,18,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
4,25,6,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
4,27,10,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
4,30,9,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
5,3,12,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
5,10,10,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
5,12,12,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
5,17,12,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
5,18,19,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
5,19,12,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
5,20,7,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
5,21,11,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
5,25,13,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
5,26,19,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
5,27,11,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
5,28,29,http://www.cnn.com/2017/02/17/us/raccoon-stuck-on-garbage-truck/index.html
