MTH,DY,COUNT(*),REFERER
1,20,564413,http://www.cnn.com/2017/01/20/politics/donald-trump-barack-obama-inauguration-crowd-size/index.html
1,21,618614,http://www.cnn.com/2017/01/20/politics/donald-trump-barack-obama-inauguration-crowd-size/index.html
1,22,415459,http://www.cnn.com/2017/01/20/politics/donald-trump-barack-obama-inauguration-crowd-size/index.html
1,23,185445,http://www.cnn.com/2017/01/20/politics/donald-trump-barack-obama-inauguration-crowd-size/index.html
1,24,1130,http://www.cnn.com/2017/01/20/politics/donald-trump-barack-obama-inauguration-crowd-size/index.html
1,25,421,http://www.cnn.com/2017/01/20/politics/donald-trump-barack-obama-inauguration-crowd-size/index.html
1,26,233,http://www.cnn.com/2017/01/20/politics/donald-trump-barack-obama-inauguration-crowd-size/index.html
1,27,231,http://www.cnn.com/2017/01/20/politics/donald-trump-barack-obama-inauguration-crowd-size/index.html
1,28,24,http://www.cnn.com/2017/01/20/politics/donald-trump-barack-obama-inauguration-crowd-size/index.html
1,29,12,http://www.cnn.com/2017/01/20/politics/donald-trump-barack-obama-inauguration-crowd-size/index.html
1,30,10,http://www.cnn.com/2017/01/20/politics/donald-trump-barack-obama-inauguration-crowd-size/index.html
1,31,9,http://www.cnn.com/2017/01/20/politics/donald-trump-barack-obama-inauguration-crowd-size/index.html
2,1,13,http://www.cnn.com/2017/01/20/politics/donald-trump-barack-obama-inauguration-crowd-size/index.html
2,2,4,http://www.cnn.com/2017/01/20/politics/donald-trump-barack-obama-inauguration-crowd-size/index.html
2,4,26,http://www.cnn.com/2017/01/20/politics/donald-trump-barack-obama-inauguration-crowd-size/index.html
2,5,6,http://www.cnn.com/2017/01/20/politics/donald-trump-barack-obama-inauguration-crowd-size/index.html
2,7,117,http://www.cnn.com/2017/01/20/politics/donald-trump-barack-obama-inauguration-crowd-size/index.html
2,8,15,http://www.cnn.com/2017/01/20/politics/donald-trump-barack-obama-inauguration-crowd-size/index.html
2,9,18,http://www.cnn.com/2017/01/20/politics/donald-trump-barack-obama-inauguration-crowd-size/index.html
2,10,79,http://www.cnn.com/2017/01/20/politics/donald-trump-barack-obama-inauguration-crowd-size/index.html
2,11,90,http://www.cnn.com/2017/01/20/politics/donald-trump-barack-obama-inauguration-crowd-size/index.html
2,12,114,http://www.cnn.com/2017/01/20/politics/donald-trump-barack-obama-inauguration-crowd-size/index.html
2,13,59,http://www.cnn.com/2017/01/20/politics/donald-trump-barack-obama-inauguration-crowd-size/index.html
2,14,83,http://www.cnn.com/2017/01/20/politics/donald-trump-barack-obama-inauguration-crowd-size/index.html
2,15,75,http://www.cnn.com/2017/01/20/politics/donald-trump-barack-obama-inauguration-crowd-size/index.html
2,16,118,http://www.cnn.com/2017/01/20/politics/donald-trump-barack-obama-inauguration-crowd-size/index.html
2,17,94,http://www.cnn.com/2017/01/20/politics/donald-trump-barack-obama-inauguration-crowd-size/index.html
2,18,110,http://www.cnn.com/2017/01/20/politics/donald-trump-barack-obama-inauguration-crowd-size/index.html
2,19,138,http://www.cnn.com/2017/01/20/politics/donald-trump-barack-obama-inauguration-crowd-size/index.html
2,20,122,http://www.cnn.com/2017/01/20/politics/donald-trump-barack-obama-inauguration-crowd-size/index.html
2,21,44,http://www.cnn.com/2017/01/20/politics/donald-trump-barack-obama-inauguration-crowd-size/index.html
2,22,24,http://www.cnn.com/2017/01/20/politics/donald-trump-barack-obama-inauguration-crowd-size/index.html
2,23,33,http://www.cnn.com/2017/01/20/politics/donald-trump-barack-obama-inauguration-crowd-size/index.html
2,24,25,http://www.cnn.com/2017/01/20/politics/donald-trump-barack-obama-inauguration-crowd-size/index.html
2,25,59,http://www.cnn.com/2017/01/20/politics/donald-trump-barack-obama-inauguration-crowd-size/index.html
2,26,44,http://www.cnn.com/2017/01/20/politics/donald-trump-barack-obama-inauguration-crowd-size/index.html
2,27,54,http://www.cnn.com/2017/01/20/politics/donald-trump-barack-obama-inauguration-crowd-size/index.html
2,28,24,http://www.cnn.com/2017/01/20/politics/donald-trump-barack-obama-inauguration-crowd-size/index.html
3,1,12,http://www.cnn.com/2017/01/20/politics/donald-trump-barack-obama-inauguration-crowd-size/index.html
