MTH,DY,COUNT(*),REFERER
1,21,802462,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
1,22,10756,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
1,23,1701,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
1,24,182,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
1,25,104,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
1,26,93,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
1,27,51,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
1,29,12,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
1,30,13,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
1,31,10,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
2,1,4,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
2,2,4,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
2,4,5,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
2,5,15,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
2,7,124,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
2,8,8,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
2,10,15,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
2,11,40,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
2,12,33,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
2,13,60,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
2,14,34,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
2,15,76,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
2,16,55,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
2,17,28,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
2,18,24,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
2,19,26,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
2,20,71,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
2,21,4,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
2,22,8,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
2,23,12,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
2,24,5,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
2,25,24,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
2,26,34,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
2,27,23,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
2,28,23,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
3,1,21,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
3,5,6,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
3,6,17,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
3,7,8,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
3,9,16,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
3,11,4,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
3,12,1,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
3,14,7,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
3,15,13,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
3,18,26,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
3,21,15,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
3,23,56,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
3,24,189,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
3,25,359,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
3,26,236,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
3,27,156,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
3,28,204,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
3,29,122,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
3,30,61,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
3,31,78,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
4,1,11,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
4,4,9,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
4,7,11,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
4,8,12,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
4,9,16,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
4,14,11,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
4,17,11,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
4,18,12,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
4,20,7,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
4,24,11,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
4,25,20,http://www.cnn.com/2017/01/20/politics/trump-signs-executive-order-on-obamacare/index.html
