MTH,DY,COUNT(*),REFERER
2,21,2362135,http://www.cnn.com/2017/02/21/politics/donald-trump-republican-support/index.html
2,22,24531,http://www.cnn.com/2017/02/21/politics/donald-trump-republican-support/index.html
2,23,2632,http://www.cnn.com/2017/02/21/politics/donald-trump-republican-support/index.html
2,24,643,http://www.cnn.com/2017/02/21/politics/donald-trump-republican-support/index.html
2,25,620,http://www.cnn.com/2017/02/21/politics/donald-trump-republican-support/index.html
2,26,256,http://www.cnn.com/2017/02/21/politics/donald-trump-republican-support/index.html
2,27,340,http://www.cnn.com/2017/02/21/politics/donald-trump-republican-support/index.html
2,28,196,http://www.cnn.com/2017/02/21/politics/donald-trump-republican-support/index.html
3,1,62,http://www.cnn.com/2017/02/21/politics/donald-trump-republican-support/index.html
3,2,38,http://www.cnn.com/2017/02/21/politics/donald-trump-republican-support/index.html
3,3,15,http://www.cnn.com/2017/02/21/politics/donald-trump-republican-support/index.html
3,4,14,http://www.cnn.com/2017/02/21/politics/donald-trump-republican-support/index.html
3,5,22,http://www.cnn.com/2017/02/21/politics/donald-trump-republican-support/index.html
3,6,6,http://www.cnn.com/2017/02/21/politics/donald-trump-republican-support/index.html
3,7,33,http://www.cnn.com/2017/02/21/politics/donald-trump-republican-support/index.html
3,8,10,http://www.cnn.com/2017/02/21/politics/donald-trump-republican-support/index.html
3,9,6,http://www.cnn.com/2017/02/21/politics/donald-trump-republican-support/index.html
3,10,3,http://www.cnn.com/2017/02/21/politics/donald-trump-republican-support/index.html
3,11,14,http://www.cnn.com/2017/02/21/politics/donald-trump-republican-support/index.html
3,13,12,http://www.cnn.com/2017/02/21/politics/donald-trump-republican-support/index.html
3,14,8,http://www.cnn.com/2017/02/21/politics/donald-trump-republican-support/index.html
3,15,13,http://www.cnn.com/2017/02/21/politics/donald-trump-republican-support/index.html
3,16,20,http://www.cnn.com/2017/02/21/politics/donald-trump-republican-support/index.html
3,17,20,http://www.cnn.com/2017/02/21/politics/donald-trump-republican-support/index.html
3,18,45,http://www.cnn.com/2017/02/21/politics/donald-trump-republican-support/index.html
3,19,52,http://www.cnn.com/2017/02/21/politics/donald-trump-republican-support/index.html
3,20,24,http://www.cnn.com/2017/02/21/politics/donald-trump-republican-support/index.html
3,21,37,http://www.cnn.com/2017/02/21/politics/donald-trump-republican-support/index.html
3,22,87,http://www.cnn.com/2017/02/21/politics/donald-trump-republican-support/index.html
3,23,2,http://www.cnn.com/2017/02/21/politics/donald-trump-republican-support/index.html
3,24,49,http://www.cnn.com/2017/02/21/politics/donald-trump-republican-support/index.html
3,25,44,http://www.cnn.com/2017/02/21/politics/donald-trump-republican-support/index.html
3,26,56,http://www.cnn.com/2017/02/21/politics/donald-trump-republican-support/index.html
3,27,73,http://www.cnn.com/2017/02/21/politics/donald-trump-republican-support/index.html
3,28,130,http://www.cnn.com/2017/02/21/politics/donald-trump-republican-support/index.html
3,29,58,http://www.cnn.com/2017/02/21/politics/donald-trump-republican-support/index.html
3,30,63,http://www.cnn.com/2017/02/21/politics/donald-trump-republican-support/index.html
3,31,218,http://www.cnn.com/2017/02/21/politics/donald-trump-republican-support/index.html
4,1,31,http://www.cnn.com/2017/02/21/politics/donald-trump-republican-support/index.html
4,2,16,http://www.cnn.com/2017/02/21/politics/donald-trump-republican-support/index.html
